Feature ID	Taxon	Confidence
016041c8c010d7d271cf217719c36b92	d__Bacteria; p__Firmicutes; c__Bacilli; o__Staphylococcales; f__Staphylococcaceae; g__Staphylococcus; s__Staphylococcus_carnosus	0.9998538000694288
0168ef998040bd649e5050b5f1f46b15	d__Bacteria	0.9987046419236144
016d9e872f91c2a8247e5d8600132abc	d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Corynebacteriales; f__Corynebacteriaceae; g__Corynebacterium; s__Corynebacterium_durum	0.9981144609032349
018f458a75a85be941e401b8dfcdfa21	d__Bacteria; p__Bacteroidota; c__Bacteroidia	0.9141603991338412
01919c91f3ae1505309ed1e1d718accb	d__Bacteria; p__Firmicutes; c__Clostridia; o__Christensenellales; f__Christensenellaceae; g__Christensenellaceae_R-7_group	0.8608918375383408
019ff042da6bf6201670b45983998f4b	d__Bacteria	0.9922938052689532
01af7f431fd4ae4d9dc3647b5f0dafe0	d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Corynebacteriales; f__Nocardiaceae; g__Nocardia; s__Streptomyces_sp.	0.9999951423218398
01b3f688890c415563709dc18164e09a	d__Bacteria; p__Firmicutes; c__Bacilli; o__Staphylococcales; f__Staphylococcaceae; g__Staphylococcus; s__Staphylococcus_carnosus	0.9999694858088246
01dcb2736ea463604f09c294acb385e5	d__Bacteria	0.9928643891115362
01eb92ad56b96c129edba8fecd825354	d__Bacteria	0.9917073296844526
020fc8cb74e067dfda325d76b4c9c3c3	d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Corynebacteriales; f__Nocardiaceae; g__Nocardia; s__Streptomyces_sp.	0.9870092576090851
02144d5153a341e61cbfd22261db8677	d__Bacteria	0.9967442280824919
021ac4b9aaf690b149c12e5300e2f6ee	d__Bacteria	0.9993140686288822
021cec1991db0604b58a15c8568348c2	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Sphingobacteriales; f__Lentimicrobiaceae; g__Lentimicrobium; s__unidentified	0.9999990620939478
022e67942d5d97c0893581a864410b33	d__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Streptococcaceae; g__Streptococcus; s__Streptococcus_pneumoniae	0.792502342364765
0232b56c81bb04fb94bdcfdf8b073ae1	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Porphyromonadaceae; g__Porphyromonas	0.999999999999915
0236e9cc5b4ab1db8d97adbfadb46e66	d__Bacteria; p__Firmicutes; c__Bacilli	0.761690044694353
0243b68c76049aa1b8c51a20333da950	d__Bacteria; p__Firmicutes; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae; g__Lachnospiraceae_ND3007_group; s__metagenome	0.9243868999059587
02447a7d5fddcd086b2cfccf1d646b87	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales	0.7675830468230278
0245982dc48595c252ebf86d6f88fd41	d__Bacteria; p__Firmicutes; c__Clostridia; o__Oscillospirales; f__Ruminococcaceae; g__Ruminococcus; s__metagenome	0.9838413720879724
024ba5d4f676c4b165e2470694fa63d1	d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Corynebacteriales; f__Nocardiaceae; g__Nocardia; s__Streptomyces_sp.	0.999999423528844
025796ca6360911030108b8fe6a929ba	d__Bacteria; p__Bacteroidota; c__Bacteroidia	0.8768378009985485
025f629e35d5a77ef20b539f665ce70d	d__Bacteria	0.9988303461873369
0260d460340f0184fadfa9b8d1e515f2	d__Bacteria; p__Proteobacteria	0.723991733812746
0263d9968ad134a2526a47a7b1fd965e	d__Bacteria; p__Firmicutes; c__Clostridia; o__Peptostreptococcales-Tissierellales; f__Peptostreptococcaceae; g__Tepidibacter; s__uncultured_Gram-positive	0.9856899691317179
0266b37dda69c8fd306c9e0ee679e583	d__Bacteria; p__Firmicutes; c__Clostridia; o__Oscillospirales; f__Ruminococcaceae	0.9992479457279039
0267907d70cd9dcaefced7baefd5f9c2	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__Comamonas; s__uncultured_compost	0.7585917067165672
0273438f015b6b027b5a008e14045ab0	d__Bacteria; p__Firmicutes; c__Clostridia; o__Peptostreptococcales-Tissierellales; f__Peptostreptococcaceae; g__Tepidibacter; s__uncultured_Gram-positive	0.9910609602567739
0274888d1ff2201bcf79912ee043fbca	d__Bacteria; p__Firmicutes; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae	0.9999881210046062
0278e2757336815aaa53fdd8e0afcbc2	d__Bacteria	0.9941807981817152
027bbfb50430ab99a2ea333b0b788a0e	d__Bacteria; p__Fusobacteriota; c__Fusobacteriia; o__Fusobacteriales; f__Fusobacteriaceae; g__Fusobacterium	0.9999999992556461
027e0fea1fae071ea825700e8f1da0f0	d__Bacteria; p__Bacteroidota; c__Bacteroidia	0.9397547166374958
02898ff54ac45995cf8b19ae7434bf53	d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Corynebacteriales; f__Nocardiaceae; g__Nocardia; s__Streptomyces_sp.	0.9879055508943144
028cb48e223190a46a23cb0ebd52cde0	d__Bacteria; p__Actinobacteriota	0.926715466468349
028f37795c71cac0cfe9d52645813472	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotella; s__Prevotella_veroralis	0.7366318629095535
029221fad470921b3862b0d04ed84ceb	d__Bacteria	0.9953631808332358
0295dde82e30450e2cc0b37120232468	d__Bacteria; p__Firmicutes; c__Bacilli; o__Staphylococcales; f__Staphylococcaceae; g__Staphylococcus; s__Staphylococcus_carnosus	0.7998152996606518
02b104eec54f5ea91ffa77af5c0ffd64	d__Bacteria; p__Firmicutes; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae	0.8629301097959783
02b4317d07dfa2d4bcf0b885431ba6ce	d__Bacteria; p__Firmicutes; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae; g__Blautia; s__Blautia_sp.	0.9225985907158647
02c3e5b3c01215f392eb78607475053b	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Rikenellaceae; g__Rikenellaceae_RC9_gut_group; s__Bacteroidales_oral	0.9999954037513176
02cdd38e9dadd77ec122a2ae15a2e4dc	d__Bacteria; p__Firmicutes; c__Bacilli; o__Mycoplasmatales; f__Mycoplasmataceae; g__Mycoplasma; s__Metamycoplasma_salivarium	0.8453467684569542
02d01882495b186528c039147862f980	d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Corynebacteriales; f__Nocardiaceae; g__Nocardia; s__Streptomyces_sp.	0.8419519749154709
02d4ebb6e0d95cd401ff7f9b09f04c5f	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotella; s__Prevotella_micans	0.9999999844112325
02d74fbde6fdb49ba0437de29b86bd38	d__Bacteria; p__Firmicutes; c__Bacilli; o__Staphylococcales; f__Staphylococcaceae; g__Staphylococcus; s__Staphylococcus_carnosus	0.9999113643733099
02df8598ac39f1ef54609afb19c8c450	d__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Streptococcaceae; g__Streptococcus	0.9999069167957658
02e129f36044cefb3b04b4648f4f4aa0	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Moraxellaceae; g__Moraxella	0.9306940769198075
02ed3db36ac309dbfe88cfe86ed18546	d__Bacteria; p__Spirochaetota; c__Spirochaetia; o__Spirochaetales; f__Spirochaetaceae; g__Treponema; s__Treponema_socranskii	0.9834657749490786
02f0222141df8838645c359105a79102	d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Corynebacteriales; f__Nocardiaceae; g__Nocardia; s__Streptomyces_sp.	0.9997734187602622
02f6e05bdf1e033399fe10694919b0e4	d__Bacteria; p__Spirochaetota; c__Spirochaetia; o__Spirochaetales; f__Spirochaetaceae; g__Treponema; s__Treponema_zuelzerae	0.9843877363471141
02fc1f455a4d4d1a851b3752eef338d4	d__Bacteria; p__Firmicutes; c__Negativicutes; o__Veillonellales-Selenomonadales; f__Veillonellaceae; g__Anaeroglobus; s__Anaeroglobus_geminatus	0.999858479826751
02fee4ac2987482758413e30b5dfc66e	d__Bacteria; p__Bacteroidota; c__Bacteroidia	0.7730448581999525
032f599075ad5f18f15b21d2fab30e06	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Rhizobiaceae; g__Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium; s__[Pseudomonas]_geniculata	0.999992558901513
0330e0efd668d7b53f61d202355fa6b9	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Rhizobiaceae; g__Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium; s__[Pseudomonas]_geniculata	0.9996508930914545
033159cf3d3d4365c59db2cb8f608a0c	d__Bacteria	0.9533887585579168
0332100a20534228abafb25b9ece7bbf	d__Bacteria; p__Bacteroidota; c__Bacteroidia	0.964843100582579
033253f4807bafd801e2d859f7885f06	d__Bacteria	0.9914485986442649
0332e8b148f8f643affb80fbad84be10	d__Bacteria	0.9998711909282517
034391ff59e02aa8ba1dcca0ade21578	d__Bacteria; p__Firmicutes; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae; g__[Eubacterium]_xylanophilum_group; s__uncultured_organism	0.8816687958989636
0344959038c3ff62058e9c09b084cb9a	d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Corynebacteriales; f__Nocardiaceae; g__Nocardia; s__Streptomyces_sp.	0.999999744509698
0346ec2fd5a550d35af9d6a8349d01fe	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Rikenellaceae; g__Rikenellaceae_RC9_gut_group; s__Bacteroidales_oral	0.9552752593086682
0347d62393a5739d786ef269e99a0378	d__Bacteria; p__Spirochaetota; c__Spirochaetia; o__Spirochaetales; f__Spirochaetaceae; g__Treponema; s__Treponema_lecithinolyticum	0.9999955711903555
0358f678e0a061f7b45cefca27d10f3e	d__Bacteria; p__Bacteroidota; c__Bacteroidia	0.8802994815623125
0366bad0d92b628da0818ca7267e8314	d__Bacteria; p__Bacteroidota; c__Bacteroidia	0.9191857946883794
036b9f4a09e271ad260bb98c157763ea	d__Bacteria; p__Firmicutes; c__Clostridia; o__Oscillospirales; f__UCG-010; g__UCG-010	0.99999454456642
