pathway	E1	E3	E4	E5	NS1	NS2	NS3	NS4	NS5	NS6	QS1	QS2	QS3	QS4	QS5	QS6	QS7	QS8	S1	S10	S14	S2	S3	S5	S6	S8	S9
CALVIN-PWY	155.93220291073800	55.709065599443200	27.272727272727300	60.363136176066000	263.487250172295	233.95802532981800	106.27100409836100	8.727272727272730	432.3610994285760	380.0	460.98603552453700	277.28430168934700	228.34228917316200	232.03855611291400	55.63636363636360	54.1350457782299	171.46462715105200	427.5609084038950	8.0	13.090909090909100	62.18181818181820	45.52348106284690	1.0909090909090900	0.0	12.705882352941200	0.0	0.0
COA-PWY	143.0	46.0	25.0	53.0	236.0	212.0	98.50000000000000	8.0	381.5	350.0	413.0	254.0	205.75000000000000	214.00000000000000	51.0	50.25	159.0	386.50000000000000	6.0	12.0	57.0	46.0	1.0	0.0	12.0	0.0	0.0
COBALSYN-PWY	117.22360504834400	39.91304347826090	29.347826086956500	61.61788617886180	264.5732667168570	216.89529078517600	109.55426458938500	9.094736842105260	424.76625188347500	384.34172185430500	457.8042366472840	279.38353002204600	218.1317817638030	239.87666263603400	57.375	55.80503364502320	176.7595269382390	430.80593847875600	0.0	13.642105263157900	64.125	31.744192700173000	1.1250000000000000	0.0	13.090909090909100	0.0	0.0
COLANSYN-PWY	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	52.22629135121730	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
COMPLETE-ARO-PWY	142.38237464513300	48.58085808580860	26.666666666666700	61.04326053693140	240.03216080402000	223.59382281158100	103.3510422523790	9.846153846153850	395.99718557659300	358.13953488372100	429.39474549772900	259.7154036789880	213.20276379670300	214.9861751152070	51.0	52.83911671924290	167.09335346554800	392.37174998925400	6.0	14.76923076923080	57.0	49.20334261838440	1.0	0.0	14.048780487804900	0.0	0.0
DAPLYSINESYN-PWY	149.03486785877700	35.877655055225200	0.0	37.3100434934093	269.70151197711100	241.09172908343700	110.65470680617000	0.0	443.03786416955900	392.13129496402900	477.0665667811810	289.99378780664400	236.84728978628000	241.6450790091990	57.375	58.55494160900520	180.72979209104500	440.4682543983810	0.0	0.0	64.125	52.23216492418750	1.125	0.0	0.0	0.0	0.0
DENITRIFICATION-PWY	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.272727272727270	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
DENOVOPURINE2-PWY	124.1689164447860	46.99879540041090	26.744186046511600	56.95899446528560	0.0	94.51670144489390	57.42748845439620	8.55813953488372	137.07423884059500	68.39754993875920	155.31842351153500	71.8571197340312	78.8766674343957	39.42902755629480	0.0	44.71498790637750	111.74489004933000	56.1416456240301	0.0	12.837209302325600	0.0	0.0	0.0	0.0	11.420689655172400	0.0	0.0
DTDPRHAMSYN-PWY	189.8800754854810	0.0	0.0	18.285714285714300	268.28232354778300	278.1624201659610	110.63520000000000	0.0	432.7614142300100	397.01492537313400	487.4297794776170	296.2395856789010	255.81453042410100	243.7384196185290	58.28571428571430	56.31190476190480	178.4597014925370	455.18482601042200	0.0	0.0	65.14285714285720	80.88120727460340	1.1428571428571400	0.0	6.857142857142860	0.0	0.0
ENTBACSYN-PWY	0.0	0.0	0.0	30.399925577933900	0.0	0.0	0.0	0.0	74.95373987417250	0.0	55.81381364828740	35.227872602498700	25.769692695619500	0.0	0.0	0.0	0.0	20.01892347519540	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
FAO-PWY	180.05905864888400	0.0	0.0	22.87364620938630	479.1073655007140	349.5553412864810	175.73139407441100	0.0	727.448585349099	685.1751971094430	764.649962314261	449.6607038287470	365.2002037472400	417.8360184017480	104.31818181818200	78.24192567620240	274.1264948212500	761.8423971822610	0.0	0.0	116.5909090909090	48.83037116007810	2.0454545454545500	0.0	0.0	0.0	0.0
FASYN-ELONG-PWY	71.76829268292680	0.0	0.0	43.38358715128020	0.0	104.98019886283000	0.0	0.0	19.702857611964800	27.345562901573700	31.274317255858100	23.369949957280600	71.92660550458720	0.0	0.0	0.0	0.0	23.59138391131970	0.0	0.0	0.0	60.92715231788080	0.0	0.0	11.52	0.0	0.0
FASYN-INITIAL-PWY	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.445429639185900	33.80078160501680	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
FERMENTATION-PWY	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	37.995018490219000	37.98013842364370	0.0	42.39643370780490	10.419671326381600	0.0	20.43359667148020	35.95266118868560	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
FOLSYN-PWY	0.0	0.0	0.0	45.34928669227400	0.0	88.63313821392650	62.58127024033190	0.0	109.01360964987300	132.50478011472300	135.1419626747820	100.23264131062400	42.95254209194780	43.961430712989900	0.0	33.951826490709800	103.16769190482400	26.899496571945700	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GLCMANNANAUT-PWY	26.37546468401490	0.0	0.0	0.0	0.0	41.99166886262750	0.0	0.0	0.0	0.0	14.486440979628300	12.27046507636860	29.127926833896200	0.0	0.0	0.0	0.0	8.481702447503170	0.0	0.0	0.0	28.72168284789640	0.0	0.0	0.0	0.0	0.0
GLUCONEO-PWY	152.2184120602380	47.16021508570750	25.0	61.14154619736020	98.70383016579570	0.0	0.0	8.533333333333330	291.13496246119700	91.16858027060770	280.8405217724360	117.13701772899800	53.22911657167680	0.0	0.0	0.0	0.0	158.17261344579700	0.0	12.8	0.0	0.0	0.0	0.0	10.285714285714300	0.0	0.0
GLUCOSE1PMETAB-PWY	0.0	0.0	0.0	0.0	0.0	20.37037037037040	12.688524590163900	0.0	20.337209302325600	0.0	26.16393442622950	29.7	14.686708860759500	10.0	0.0	12.250000000000000	26.526315789473700	7.4411764705882400	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GLUCUROCAT-PWY	0.0	0.0	0.0	19.862068965517200	0.0	0.0	0.0	0.0	23.510174795208600	0.0	90.9832614011648	32.066403884150600	14.274388998035400	0.0	0.0	0.0	0.0	41.04978745623840	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GLUTORN-PWY	156.3867016622920	0.0	0.0	41.98019801980200	262.22222222222200	233.9955849889630	107.97470331043100	0.0	422.8504083147740	387.09677419354800	456.7104160848920	280.4729109274560	227.9963108536750	237.1474019088020	56.666666666666700	54.98527588344700	174.1958041958040	429.10277737595800	0.0	0.0	63.333333333333300	51.11111111111110	1.1111111111111100	0.0	12.000000000000000	0.0	0.0
GLYCOCAT-PWY	25.918505395393800	0.0	0.0	0.0	0.0	57.73468124613160	35.295833333333300	0.0	49.55759803921570	57.14285714285710	68.88961569910060	53.181529784984100	27.41639869074620	19.107142857142900	0.0	19.698	58.70769230769230	14.601239360907900	0.0	0.0	0.0	0.0	0.0	0.0	6.857142857142860	0.0	0.0
GLYCOGENSYNTH-PWY	12.658737650242300	14.081632653061200	0.0	0.0	0.0	33.80690055088430	25.484356197352600	0.0	46.534828759161700	36.08247422680410	43.68104520945670	34.39945280437760	14.443936451176700	12.355658198614300	0.0	14.432883939038700	42.589285714285700	7.874035720612630	6.000000000000000	0.0	0.0	0.0	0.0	0.0	6.666666666666670	0.0	0.0
GLYCOLYSIS	133.04465546150400	46.48219723588660	25.0	57.59093002144480	265.64685212298700	238.40049783599300	114.3387494594540	8.470588235294120	431.3028261408500	399.75634509064100	470.4213073977030	287.8000213413660	230.2298139875160	241.87733711063200	57.375	57.57532295662320	184.02558602618700	435.2389453258950	6.680412371134020	12.705882352941200	64.125	45.576450030244000	1.125	0.0	11.571428571428600	0.0	0.0
GLYCOLYSIS-E-D	118.45729314940700	27.935263007568300	0.0	39.22840357923840	81.24939018682030	0.0	0.0	0.0	242.9444571872820	41.383821044594900	234.37050585263400	97.25335777677910	43.63884863782690	0.0	0.0	0.0	0.0	130.3776741517330	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GLYCOLYSIS-TCA-GLYOX-BYPASS	103.11730871570700	0.0	0.0	35.72510780605970	79.79836957393460	111.20978736972400	55.2907945601756	0.0	251.5563875370740	135.30046046884300	252.9957375844390	101.25458357752700	60.55288574081880	0.0	0.0	0.0	76.46352319728850	134.12756222381400	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GLYOXYLATE-BYPASS	141.4327215106300	0.0	0.0	22.58823529411770	282.50498051104400	243.26869350862800	109.71213204036600	0.0	453.1052135799080	412.01201201201200	507.3071388648830	299.01981704331000	244.84105998435500	248.92378652236300	61.200000000000000	49.71855040893010	172.0341493161430	470.79175305233000	0.0	0.0	68.4	55.200000000000000	1.2000000000000000	0.0	0.0	0.0	0.0
HEME-BIOSYNTHESIS-II	107.00000000000000	34.0	25.0	53.0	236.0	212.0	98.50000000000000	8.0	376.43359893758300	346.4646464646470	413.0	258.497670083877	205.75000000000000	215.46910755148700	51.0	50.25	159.0	386.50000000000000	0.0	12.0	57.0	46.0	1.0	0.0	12.0	0.0	0.0
HEMESYN2-PWY	107.00000000000000	41.23404255319150	30.0	62.036866359447000	236.0	212.0	98.50000000000000	9.600000000000000	383.9517994858610	353.3980582524270	413.0	258.497670083877	205.75000000000000	215.46910755148700	51.0	50.25	159.0	386.50000000000000	0.0	14.400000000000000	57.0	46.0	1.0	0.0	13.714285714285700	0.0	0.0
HISDEG-PWY	107.00000000000000	0.0	0.0	16.0	236.0	200.5	86.0	8.0	371.5	315.0	391.5	244.1308793456030	196.00000000000000	206.95652173913000	51.0	43.5	137.0	386.50000000000000	0.0	12.0	57.0	46.0	1.0	0.0	6.857142857142860	0.0	0.0
HISTSYN-PWY	138.50529038208000	34.0	26.923076923076900	49.54333149335490	254.83533123028400	229.25241379310300	106.88595246541300	8.0	410.42595395136200	375.40682494383400	448.3940514199290	273.94527067221900	222.2839775280900	230.3783393501810	54.92307692307690	54.571465428276600	172.580814717477	417.52663090334300	0.0	12.000000000000000	61.38461538461540	49.53846153846150	1.0769230769230800	0.0	12.000000000000000	0.0	0.0
HOMOSER-METSYN-PWY	160.03740291742800	34.0	25.0	49.678986660139500	347.50809061488700	299.3405461782700	137.26022032261500	8.0	537.7513622076230	506.50259067357500	599.81147644659	363.7178007061630	297.04559150146700	314.4872803201670	76.5	66.18377382228640	218.06938260753300	575.483809573096	0.0	12.0	85.5	63.11262798634810	1.5	0.0	7.200000000000000	0.0	0.0
